exon	574206	574383
intron	574384	576132
exon	576133	576346
intron	576347	578097
exon	578098	578215
intron	578216	579229
exon	579230	579500
intron	579501	582085
exon	582086	582319
intron	582320	586661
exon	586662	586752
intron	586753	588077
exon	588078	588211
intron	588212	588387
exon	588388	588469
intron	588470	589531
exon	589532	589609
intron	589610	590392
exon	590393	590466
intron	590467	596162
exon	596163	596238
intron	596239	596780
exon	596781	596870
intron	596871	596968
exon	596969	597021
intron	597022	597866
exon	597867	598059
intron	598060	602992
exon	602993	603078
intron	603079	604534
exon	604535	604651
intron	604652	605965
exon	605966	606042
intron	606043	606393
exon	606394	606460
intron	606461	607410
exon	607411	607548
intron	607549	609469
exon	609470	609555
intron	609556	610935
exon	610936	611030
intron	611031	612855
exon	612856	613053
intron	613054	615266
exon	615267	615745
intron	615746	620552
exon	620553	620686
intron	620687	625983
exon	625984	627099
nc	627100	673648
exon	673649	674028
intron	674029	674074
exon	674075	674103
intron	674104	674923
exon	674924	675345
nc	675346	679052
exon	679053	679366
nc	679367	679833
exon	679834	680749
nc	680750	680957
exon	680958	681198
nc	681199	681240
exon	681241	681748
nc	681749	682433
exon	682434	685448
nc	685449	691836
exon	691837	692220
nc	692221	697694
exon	697695	699551
nc	699552	857961
exon	857962	859170
nc	859171	859787
exon	859788	861777
nc	861778	865077
exon	865078	865263
nc	865264	869508
exon	869509	869746
nc	869747	883399
exon	883400	883467
nc	883468	908358
exon	908359	909299
nc	909300	916180
exon	916181	916614
nc	916615	917251
exon	917252	917340
nc	917341	920170
exon	920171	920533
nc	920534	921054
exon	921055	921875
nc	921876	932867
exon	932868	939734
nc	939735	939939
exon	939940	940647
nc	940648	941209
exon	941210	941432
nc	941433	941587
exon	941588	943294
nc	943295	1075503
exon	1075504	1078807
nc	1078808	1079094
exon	1079095	1079133
nc	1079134	1079331
exon	1079332	1080259
nc	1080260	1084843
exon	1084844	1085418
nc	1085419	1086396
exon	1086397	1089060
nc	1089061	1090304
exon	1090305	1092683
nc	1092684	1093329
exon	1093330	1093501
nc	1093502	1098934
exon	1098935	1102363
nc	1102364	1108299
exon	1108300	1108367
nc	1108368	1120636
exon	1120637	1120802
nc	1120803	1157257
exon	1157258	1157416
intron	1157417	1189046
exon	1189047	1190072
intron	1190073	1202266
exon	1202267	1202289
intron	1202290	1204014
exon	1204015	1204123
intron	1204124	1231661
exon	1231662	1232055
intron	1232056	1232368
exon	1232369	1232574
intron	1232575	1233033
exon	1233034	1233521
intron	1233522	1233962
exon	1233963	1234146
intron	1234147	1234668
exon	1234669	1235397
nc	1235398	1237714
exon	1237715	1238142
intron	1238143	1261430
exon	1261431	1262012
intron	1262013	1262489
exon	1262490	1262590
intron	1262591	1290341
exon	1290342	1290411
intron	1290412	1304811
exon	1304812	1304898
intron	1304899	1328523
exon	1328524	1328634
intron	1328635	1338723
exon	1338724	1338832
intron	1338833	1354814
exon	1354815	1354903
intron	1354904	1375622
exon	1375623	1375775
intron	1375776	1403266
exon	1403267	1403382
intron	1403383	1425474
exon	1425475	1425899
intron	1425900	1457811
exon	1457812	1457981
intron	1457982	1480587
exon	1480588	1480621
intron	1480622	1508931
exon	1508932	1509063
intron	1509064	1515194
exon	1515195	1515266
intron	1515267	1516867
exon	1516868	1516953
intron	1516954	1517393
exon	1517394	1517507
